Team_Url;Team;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Notes
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-20;21:30;Libertadores;Round of 16;Tue;Home;L;1;3;São Paulo;1,3;1,6;61;NA;Gabriel Arias;3-1-4-2;Gustavo Tejera;"Leg 2 of 2; São Paulo won"
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-24;18:00;Liga Argentina;Matchweek 2;Sat;Home;D;0;0;Gimnasia–LP;0,5;0,4;63;NA;Gabriel Arias;4-2-3-1;Leandro Rey Hilfer;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-27;18:45;Liga Argentina;Matchweek 3;Tue;Away;W;2;0;Aldosivi;3,0;1,9;51;NA;Lisandro López;4-2-3-1;Pablo Echavarría;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-31;18:00;Liga Argentina;Matchweek 4;Sat;Home;W;1;0;Sarmiento;1,0;0,5;72;NA;Gabriel Arias;4-2-3-1;Fernando Espinoza;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-08-08;20:15;Liga Argentina;Matchweek 5;Sun;Away;L;0;1;Independiente;1,3;1,1;59;NA;Lisandro López;4-2-3-1;Facundo Tello;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-08-15;20:15;Liga Argentina;Matchweek 6;Sun;Home;W;2;0;Newell's OB;0,8;0,4;48;NA;Gabriel Arias;4-2-3-1;Fernando Echenique;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-08-21;18:00;Liga Argentina;Matchweek 7;Sat;Away;W;3;0;Arsenal;1,9;1,0;48;NA;Darío Cvitanich;4-2-3-1;Hernán Mastrángelo;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-08-24;21:00;Liga Argentina;Matchweek 8;Tue;Home;D;0;0;Cen. Córdoba–SdE;1,1;0,9;62;NA;Darío Cvitanich;4-2-3-1;Andrés Merlos;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-08-29;20:15;Liga Argentina;Matchweek 9;Sun;Away;D;0;0;Boca Juniors;0,4;0,8;40;NA;Darío Cvitanich;4-2-3-1;Fernando Rapallini;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-09-05;19:00;Liga Argentina;Matchweek 10;Sun;Home;D;0;0;Banfield;0,4;1,0;58;NA;Leonardo Sigali;4-2-3-1;Hernán Mastrángelo;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-09-13;18:45;Liga Argentina;Matchweek 11;Mon;Away;D;1;1;San Lorenzo;0,6;0,5;70;NA;Lisandro López;4-1-2-1-2◆;Nicolás Lamolina;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-09-18;18:00;Liga Argentina;Matchweek 12;Sat;Home;L;1;2;Talleres;1,2;0,4;53;NA;Lisandro López;4-3-1-2;Patricio Loustau;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-09-27;18:00;Liga Argentina;Matchweek 13;Mon;Away;L;0;2;Arg Juniors;0,5;0,8;59;NA;Darío Cvitanich;4-1-3-2;Yael Falcón;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-03;20:15;Liga Argentina;Matchweek 14;Sun;Home;D;1;1;Estudiantes;0,6;2,3;50;NA;Lisandro López;4-1-3-2;Fernando Echenique;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-09;15:45;Liga Argentina;Matchweek 15;Sat;Away;W;2;1;Patronato;0,8;2,6;48;NA;Lisandro López;4-1-2-1-2◆;Nicolás Lamolina;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-15;19:00;Liga Argentina;Matchweek 16;Fri;Home;L;0;1;Platense;1,1;0,4;67;NA;Lisandro López;4-2-3-1;Patricio Loustau;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-19;16:45;Liga Argentina;Matchweek 17;Tue;Away;D;1;1;Unión;1,3;2,1;59;NA;Lisandro López;4-4-1-1;Jorge Baliño;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-23;20:15;Liga Argentina;Matchweek 18;Sat;Away;L;1;2;Rosario Central;0,7;1,1;58;NA;Lisandro López;4-4-1-1;Darío Herrera;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-10-29;19:00;Liga Argentina;Matchweek 19;Fri;Home;L;1;2;Defensa y Just;1,9;1,7;63;NA;Lisandro López;4-3-3;Germán Delfino;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-11-06;20:15;Liga Argentina;Matchweek 20;Sat;Away;W;2;0;Atlé Tucumán;1,0;0,7;57;NA;Lisandro López;3-4-1-2;Pablo Echavarría;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-11-21;19:15;Liga Argentina;Matchweek 21;Sun;Home;L;1;2;Colón;2,3;0,9;67;NA;Lisandro López;4-2-3-1;Diego Abal;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-11-25;21:30;Liga Argentina;Matchweek 22;Thu;Away;L;0;4;River Plate;0,5;2,7;43;NA;Gabriel Arias;3-5-2;Silvio Trucco;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-11-29;19:15;Liga Argentina;Matchweek 23;Mon;Home;W;3;1;Lanús;0,9;1,7;46;NA;Lisandro López;4-2-3-1;Darío Herrera;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-12-04;21:30;Liga Argentina;Matchweek 24;Sat;Away;L;0;1;Huracán;0,8;1,1;68;NA;Lisandro López;4-2-3-1;Hernán Mastrángelo;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-12-11;17:00;Liga Argentina;Matchweek 25;Sat;Home;W;2;1;Godoy Cruz;1,3;2,0;42;NA;Lisandro López;4-2-3-1;Diego Abal;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-02-13;17:00;Copa de la Liga Profesional;Group stage;Sun;Home;D;0;0;Gimnasia–LP;1,5;0,4;66;NA;Leonardo Sigali;4-3-3;Yael Falcón;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-02-17;19:15;Copa de la Liga Profesional;Group stage;Thu;Away;D;2;2;Defensa y Just;2,6;2,1;51;NA;Leonardo Sigali;4-3-3;Néstor Pitana;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-02-22;21:30;Copa de la Liga Profesional;Group stage;Tue;Home;W;3;0;Arg Juniors;2,5;0,3;47;NA;Leonardo Sigali;4-3-3;Hernán Mastrángelo;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-02-27;19:15;Copa de la Liga Profesional;Group stage;Sun;Away;D;2;2;River Plate;0,8;0,7;44;NA;Leonardo Sigali;4-2-3-1;Pablo Echavarría;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-03-05;21:30;Copa de la Liga Profesional;Group stage;Sat;Home;W;1;0;Talleres;1,2;0,4;70;NA;Leonardo Sigali;4-3-3;Mauro Vigliano;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-03-14;19:15;Copa de la Liga Profesional;Group stage;Mon;Away;W;4;0;Atlé Tucumán;1,3;0,2;69;NA;Leonardo Sigali;4-3-3;Germán Delfino;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-03-19;20:45;Copa de la Liga Profesional;Group stage;Sat;Away;W;2;1;Independiente;0,7;0,7;54;NA;Leonardo Sigali;4-3-3;Patricio Loustau;
https://fbref.com/en/squads/8e20e13d/2022/Racing-Club-Stats;Racing Club;2022-04-02;14:00;Copa de la Liga Profesional;Group stage;Sat;Home;W;4;1;Sarmiento;3,0;0,3;75;NA;Leonardo Sigali;3-4-3;Fernando Rapallini;
